IngredientsId,Ingredients,ServingSize,Calories,TotalFat,SaturatedFat,Cholesterol,Sodium,Carbohydrate,Fiber,Sugars,Protein,Fat,Caffeine,Source,Date,IsAllergen,Food_allergen_ID,Food,Food_Class,Food_Type,Food_Group,Allergy_Type
101111,Whole Green Chilies,100 g,32,0.2g,0g,0mg,6mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101112,Butterscotch Chips,100 g,533,30.7g,21g,9mg,240mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101113,Chinese Noodles,100 g,460,19.1g,8.4g,49mg,1000mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101114,Salted Peanuts,100 g,567,49.2g,6.8g,0mg,18mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101115,Celery,100 g,16,16,0g,0g,0mg,2.97 g,1.6 g,1.6 g,0.13 mg,0.17 g,0.75 g,ChatGPT,9/22/2024,Yes,FA031,Celery,Plant origin,Vegetable,Umbelliferous vegetable,Hypersensitivity
101116,Ground Pork,100 g,263,21.6g,7.7g,72mg,62mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101117,Beef Broth,100 g,17,0.1g,0g,0mg,850mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101118,Cooking Oil,100 g,884,100g,15g,0mg,0mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101119,Hamburger Buns,100 g,285,5.3g,1.1g,1mg,490mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101120,Canola Oil,100 g,884,100g,7.1g,0mg,0mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101121,Cauliflower,100 g,25,25,0.1g,0.1g,0mg,4.97 g,2.0 g,2.0 g,0.27 mg,0.28 g,0.76 g,ChatGPT,9/22/2024,Yes,FA030,Cauliflower,Plant origin,Vegetable,Cruciferous vegetable,Cruciferous Allergy
101122,Potatoes,100 g,77,77,0g,0g,0mg,12.44 g,2.5 g,2.5 g,0.35 mg,0.10 g,1.61 g,ChatGPT,9/22/2024,No,,,,,,
101123,Vegetable Bouillon Cubes,100 g,12,0g,0g,0mg,1000mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101124,Salt Free Herb And Spice Seasoning Mix,,,,,,,,,,,,,,,No,,,,,,
101125,Ground Coriander,100 g,298,17.8g,1g,0mg,35mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101126,Broccoli Floret,,,,,,,,,,,,,,,No,,,,,,
101127,Escarole,100 g,17,17,0.1g,0.1g,0mg,3.07 g,2.8 g,2.8 g,0.69 mg,0.18 g,1.30 g,ChatGPT,9/22/2024,No,,,,,,
101128,Green Peas,100 g,81,0.4g,0.1g,0mg,5mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101129,Fresh Herb,100 g,31,0.7g,0.1g,0mg,7mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101130,Boiling Potatoes,100 g,87,0.1g,0g,0mg,8mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101131,Fresh Spinach Leaves,100 g,23,0.4g,0.1g,0mg,79mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101132,Coarse Salt,100 g,0,0g,0g,0mg,38000mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101133,Fresh Ground Black Pepper,100 g,251,3.3g,1.4g,0mg,20mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101134,Nutmeg,100 g,525,36.3g,25.9g,0mg,16mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101135,Scallion,100 g,32,0.3g,0.1g,0mg,16mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101136,Apple Juice,100 g,46,46,0g,0g,0mg,11.30 g,0.2 g,0.2 g,0.02 mg,0.13 g,0.23 g,ChatGPT,9/22/2024,No,,,,,,
101137,Spinach,100 g,23,23,0.1g,0.1g,0mg,3.63 g,2.2 g,2.2 g,0.53 mg,0.39 g,1.72 g,ChatGPT,9/22/2024,Yes,FA152,Spinach,Plant origin,Vegetable,Miscellaneous vegetable,Histamine Allergy
101138,Fresh Parsley,100 g,36,0.8g,0.1g,0mg,56mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101139,Broth,100 g,17,0.5g,0.1g,0mg,850mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101140,Rolled Oats,100 g,389,6.9g,1.2g,0mg,2mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101141,Dried Thyme,100 g,276,7.4g,2.7g,0mg,55mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101142,White Pepper,100 g,296,3.3g,1.4g,0mg,20mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101143,Boneless Skinless Chicken Breast Halves,100 g,165,3.6g,1g,85mg,74mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101144,Condensed Cream Of Chicken Soup,100 g,88,6.1g,2.2g,7mg,771mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101145,Egg,100 g,155,155,3.1g,3.1g,373mg,3.59 g,0.0 g,0.0 g,2.30 mg,26.54 g,1.71 g,ChatGPT,9/22/2024,No,,,,,,
101146,Seasoning Salt,100 g,0,0g,0g,0mg,36000mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101147,All-Purpose Flour,100 g,364,1g,0.2g,0mg,2mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101148,Paprika,100 g,282,12.8g,2.1g,0mg,68mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101149,Granulated Sugar,100 g,387,0g,0g,0mg,0mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101150,Baking Powder,100 g,53,0g,0g,0mg,11000mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101151,Vanilla Extract,100 g,288,288,0g,0g,0mg,12.65 g,0.0 g,0.0 g,0.11 mg,0.06 g,0.26 g,ChatGPT,9/22/2024,No,,,,,,
101152,Vegetable Oil,100 g,884,884,15g,15g,0mg,0.00 g,0.0 g,0.0 g,0.00 mg,100.00 g,0.00 g,ChatGPT,9/22/2024,No,,,,,,
101153,Bread,100 g,265,265,0.7g,0.7g,0mg,55.77 g,4.7 g,4.7 g,1.47 mg,4.27 g,2.77 g,ChatGPT,9/22/2024,No,,,,,,
101154,Ground Cinnamon,100 g,247,1.2g,0.3g,0mg,10mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101155,"Lemon, Juice Of",100 g,22,0.2g,0g,0mg,1mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101156,Egg Yolks,100 g,322,26.5g,9.6g,1085mg,48mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101157,Ground Black Pepper,100 g,251,3.3g,1.4g,0mg,20mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101158,Ground Ginger,100 g,335,4.2g,2.6g,0mg,27mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101159,Ground Turmeric,100 g,312,3.2g,1.8g,0mg,27mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101160,Black Cumin,100 g,375,22.3g,1.5g,0mg,168mg,,,,,,,ChatGPT,9/22/2024,No,,,,,,
101161,Vegetarian Ground Beef,,,,,,,,,,,,,,,No,,,,,,
101162,Jalapenos,,,,,,,,,,,,,,,No,,,,,,
101163,Green Pepper,,,,,,,,,,,,,,,No,,,,,,
101164,Red Pepper Flakes,,,,,,,,,,,,,,,No,,,,,,
101165,Beef Stew Meat,,,,,,,,,,,,,,,No,,,,,,
101166,Tomatoes,100 g,,,,,,3.18 g,0.9 g,0.9 g,0.14 mg,0.19 g,0.69 g,,,No,,,,,,
101167,Beef Bouillon Cube,,,,,,,,,,,,,,,No,,,,,,
101168,Dried Parsley,,,,,,,,,,,,,,,No,,,,,,
101169,Ground Thyme,,,,,,,,,,,,,,,No,,,,,,
101170,Ground Pepper,,,,,,,,,,,,,,,No,,,,,,
101171,Zucchini,,,,,,,,,,,,,,,No,,,,,,
101172,Cabbage,100 g,,,,,,2.23 g,0,0,0.14 mg,0.17 g,0.17 g,,,Yes,FA024,Cabbage,Plant origin,Vegetable,Cruciferous vegetable,Cruciferous Allergy
101173,Garbanzo Beans,,,,,,,,,,,,,,,No,,,,,,
101174,Elbow Macaroni,,,,,,,,,,,,,,,No,,,,,,
101175,Parmesan Cheese,,,,,,,,,,,,,,,No,,,,,,
101176,Red Potatoes,,,,,,,,,,,,,,,No,,,,,,
101177,Margarine,100 g,,,,,,0.90 g,0.0 g,0.0 g,0.00 mg,80.50 g,2.00 g,,,No,,,,,,
101178,Rosemary,100 g,,,,,,20.70 g,14.1 g,14.1 g,0.93 mg,5.86 g,2.35 g,,,No,,,,,,
101179,Carrot,100 g,,,,,,79.57 g,23.6 g,23.6 g,1.57 mg,1.49 g,6.84 g,,,Yes,FA027,Carrot,Plant origin,Vegetable,Umbelliferous vegetable,Hypersensitivity
101180,Broccoli Stem,,,,,,,,,,,,,,,No,,,,,,
101181,Dried Oregano,,,,,,,,,,,,,,,No,,,,,,
101182,Dried Sweet Basil Leaves,,,,,,,,,,,,,,,No,,,,,,
101183,Dry White Wine,,,,,,,,,,,,,,,No,,,,,,
101184,Chicken Stock,,,,,,,,,,,,,,,No,,,,,,
101185,Worcestershire Sauce,,,,,,,,,,,,,,,No,,,,,,
101186,Tabasco Sauce,,,,,,,,,,,,,,,No,,,,,,
101187,Smoked Chicken,,,,,,,,,,,,,,,No,,,,,,
101188,Black Beans,,,,,,,,,,,,,,,No,,,,,,
101189,Heavy Cream,,,,,,,,,,,,,,,No,,,,,,
101190,Salt & Fresh Ground Pepper,,,,,,,,,,,,,,,No,,,,,,
101191,Vanilla,,,,,,,,,,,,,,,No,,,,,,
101192,Baking Cocoa,,,,,,,,,,,,,,,No,,,,,,
101193,Miniature Peppermint Patties,,,,,,,,,,,,,,,No,,,,,,
101194,Taco Sauce,,,,,,,,,,,,,,,No,,,,,,
101195,Hot Chili Pepper,,,,,,,,,,,,,,,No,,,,,,
101196,Cornmeal,100 g,,,,,,76.89 g,7.3 g,7.3 g,1.82 mg,3.59 g,1.13 g,,,No,,,,,,
101197,Whole Kernel Corn,,,,,,,,,,,,,,,No,,,,,,
101198,Sliced Ripe Olives,,,,,,,,,,,,,,,No,,,,,,
101199,Dry Ranch Dressing Mix,,,,,,,,,,,,,,,No,,,,,,
101200,French Bread,,,,,,,,,,,,,,,No,,,,,,
101201,Ground Venison,,,,,,,,,,,,,,,No,,,,,,
101202,Egg Substitute,100 g,,,,,,21.80 g,0.0 g,0.0 g,1.82 mg,13.00 g,5.84 g,,,No,,,,,,
101203,Non-Fat Powdered Milk,,,,,,,,,,,,,,,No,,,,,,
101204,Fresh Breadcrumb,,,,,,,,,,,,,,,No,,,,,,
101205,Frozen Juice Concentrate,,,,,,,,,,,,,,,No,,,,,,
101206,Plain Yogurt,,,,,,,,,,,,,,,No,,,,,,
101207,Low Sodium Chicken Broth,,,,,,,,,,,,,,,No,,,,,,
101208,Corn,100 g,,,,,,74.93 g,0,0,3.05 mg,5.22 g,1.86 g,,,Yes,FA040,Corn,Plant origin,Cereal grain and pulse,Cereal grain,Corn Allergy
101209,Wax Beans,,,,,,,,,,,,,,,No,,,,,,
101210,Green Beans,,,,,,,,,,,,,,,No,,,,,,
101211,Carrots,100 g,,,,,,8.24 g,2.9 g,2.9 g,0.17 mg,0.13 g,0.63 g,,,No,,,,,,
101212,Frozen Chopped Spinach,,,,,,,,,,,,,,,No,,,,,,
101213,Sharp Cheddar Cheese,,,,,,,,,,,,,,,No,,,,,,
101214,Condensed Cream Of Mushroom Soup,,,,,,,,,,,,,,,No,,,,,,
101215,Crouton,,,,,,,,,,,,,,,No,,,,,,
101216,Green Onion,,,,,,,,,,,,,,,No,,,,,,
101217,Diced Pimentos,,,,,,,,,,,,,,,No,,,,,,
101218,Fat-Free Mayonnaise,,,,,,,,,,,,,,,No,,,,,,
101219,Plain Low-Fat Yogurt,,,,,,,,,,,,,,,No,,,,,,
101220,Low-Fat Sour Cream,,,,,,,,,,,,,,,No,,,,,,
101221,Prepared Mustard,,,,,,,,,,,,,,,No,,,,,,
101222,White Wine Vinegar,,,,,,,,,,,,,,,No,,,,,,
101223,Celery Seed,,,,,,,,,,,,,,,No,,,,,,
101224,Soft Breadcrumbs,,,,,,,,,,,,,,,No,,,,,,
101225,Oregano,,,,,,,,,,,,,,,No,,,,,,
101226,Sage,,,,,,,,,,,,,,,No,,,,,,
101227,Frozen Vegetables,,,,,,,,,,,,,,,No,,,,,,
101228,Cream Of Mushroom Soup,,,,,,,,,,,,,,,No,,,,,,
101229,Condensed Cream Of Mushroom & Garlic Soup,,,,,,,,,,,,,,,No,,,,,,
101230,Salt & Pepper,,,,,,,,,,,,,,,No,,,,,,
101231,Cornbread Mix,,,,,,,,,,,,,,,No,,,,,,
101232,Angel Hair Pasta,,,,,,,,,,,,,,,No,,,,,,
101233,Toasted Sesame Oil,,,,,,,,,,,,,,,No,,,,,,
101234,Green Onions,,,,,,,,,,,,,,,No,,,,,,
101235,Toasted Sesame Seeds,,,,,,,,,,,,,,,No,,,,,,
101236,Stir Fry Vegetables,,,,,,,,,,,,,,,No,,,,,,
101237,Buckwheat Flour,100 g,,,,,,70.59 g,10.0 g,10.0 g,3.12 mg,3.10 g,2.54 g,,,No,,,,,,
101238,Unsweetened Cocoa,,,,,,,,,,,,,,,No,,,,,,
101239,Ground Cloves,,,,,,,,,,,,,,,No,,,,,,
